192	À	A
193	Á	A
194	Â	A
195	Ã	A
196	Ä	A
197	Å	A
198	Æ	A
199	Ç	C
200	È	E
201	É	E
202	Ê	E
203	Ë	E
204	Ì	I
205	Í	I
206	Î	I
207	Ï	I
208	Ð	D
209	Ñ	N
210	Ò	O
211	Ó	O
212	Ô	O
213	Õ	O
214	Ö	O
217	Ù	U
218	Ú	U
219	Û	U
220	Ü	U
221	Ý	Y
223	ß	s
224	à	a
225	á	a
226	â	a
227	ã	a
228	ä	a
229	å	a
230	æ	a
231	ç	c
232	è	e
233	é	e
234	ê	e
235	ë	e
236	ì	i
237	í	i
238	î	i
239	ï	i
241	ñ	n
242	ò	o
243	ó	o
244	ô	o
245	õ	o
246	ö	o
249	ù	u
250	ú	u
251	û	u
252	ü	u
253	ý	y
254	þ	t
255	ÿ	y
256	Ā	A
257	ā	a
258	Ă	A
259	ă	a
260	Ą	A
261	ą	a
262	Ć	C
263	ć	c
264	Ĉ	C
265	ĉ	c
266	Ċ	C
267	ċ	c
268	Č	C
269	č	c
270	Ď	D
271	ď	d
272	Đ	D
273	đ	d
274	Ē	E
275	ē	e
276	Ĕ	E
277	ĕ	e
278	Ė	E
279	ė	e
280	Ę	E
281	ę	e
282	Ě	E
283	ě	e
284	Ĝ	G
285	ĝ	g
286	Ğ	G
287	ğ	g
288	Ġ	G
289	ġ	g
290	Ģ	G
291	ģ	g
292	Ĥ	H
293	ĥ	h
294	Ħ	H
295	ħ	h
296	Ĩ	I
297	ĩ	i
298	Ī	I
299	ī	i
300	Ĭ	I
301	ĭ	i
302	Į	I
303	į	i
304	İ	I
305	ı	i
306	Ĳ	J
307	ĳ	j
308	Ĵ	J
309	ĵ	j
310	Ķ	K
311	ķ	k
312	ĸ	k
313	Ĺ	L
314	ĺ	l
315	Ļ	L
316	ļ	l
317	Ľ	L
318	ľ	l
319	Ŀ	L
320	ŀ	l
321	Ł	L
322	ł	l
323	Ń	N
324	ń	n
325	Ņ	N
326	ņ	n
327	Ň	N
328	ň	n
329	ŉ	n
330	Ŋ	N
331	ŋ	n
332	Ō	O
333	ō	o
334	Ŏ	O
335	ŏ	o
336	Ő	O
337	ő	o
338	Œ	O
339	œ	o
340	Ŕ	R
341	ŕ	r
342	Ŗ	R
343	ŗ	r
344	Ř	R
345	ř	r
346	Ś	S
347	ś	s
348	Ŝ	S
349	ŝ	s
350	Ş	S
351	ş	s
352	Š	S
353	š	s
354	Ţ	T
355	ţ	t
356	Ť	T
357	ť	t
358	Ŧ	T
359	ŧ	t
360	Ũ	U
361	ũ	u
362	Ū	U
363	ū	u
364	Ŭ	U
365	ŭ	u
366	Ů	U
367	ů	u
368	Ű	U
369	ű	u
370	Ų	U
371	ų	u
372	Ŵ	W
373	ŵ	w
374	Ŷ	Y
375	ŷ	y
376	Ÿ	Y
377	Ź	Z
378	ź	z
379	Ż	Z
380	ż	z
381	Ž	Z
382	ž	z
